cluster_267	4	DDX20	GEMIN4	HCST	SIP1
cluster_268	4	DDX20	GEMIN6	PLCD3	SIP1
cluster_269	4	DEPDC5	GLA	NPRL2	NPRL3
cluster_270	4	DET1	RFWD2	SIX5	STK40
cluster_271	4	DHX37	H1FNT	LARP7	YBX2
cluster_272	4	DHX38	PPP4R2	SMEK1	SMEK2
cluster_273	4	DNAJB3	GINS1	GINS2	GINS3
cluster_274	4	DNM1	DNM2	DNM3	GRB2
cluster_275	4	DNM1	DNM2	DNM3	LYPD6
cluster_276	4	DNM1	DNM2	DNM3	SNX33
cluster_277	4	DNM1	DNM2	DNM3	SNX9
cluster_278	4	DNM1	DNM2	DNM3	TMEM9B
cluster_279	4	DOCK3	DOCK4	ELMO1	ELMO3
cluster_280	4	DOK4	PHKA2	PHKB	PHKG2
cluster_281	4	DPYS	DPYSL2	DPYSL4	DPYSL5
cluster_282	4	DSN1	NSL1	SPC24	SPC25
cluster_283	4	DYNLL1	DYNLL2	FAM83D	HMMR
cluster_284	4	DYNLL1	DYNLL2	PRKACB	PRKACG
cluster_285	4	DYNLL1	DYNLL2	RSBN1	RSBN1L
cluster_286	4	E2F6	L3MBTL2	PCGF6	TFDP2
cluster_287	4	ECSIT	IPPK	LPAR1	NDUFAF1
cluster_288	4	EIF2B1	EIF2B2	EIF2B4	SEC62
cluster_289	4	EIF2B2	EIF2B4	EIF2B5	PCDH9
cluster_290	4	EIF3A	EIF3E	EIF3H	EIF3M
cluster_291	4	EIF5A2	GINS1	GINS2	GINS4
cluster_292	4	ENAH	EVL	FBLIM1	VASP
cluster_293	4	ENAH	EVL	KIAA1522	VASP
cluster_294	4	ENAH	EVL	PFN2	VASP
cluster_295	4	ENAH	EVL	TACC3	VASP
cluster_296	4	ENAH	EVL	VASP	ZYX
cluster_297	4	ENDOD1	FAM40A	STRN	STRN3
cluster_298	4	ERCC3	FGL1	GTF2H1	GTF2H2
cluster_299	4	ERCC3	GTF2H1	GTF2H4	MCC
cluster_300	4	EXOC1	NDC80	NUF2	ZWINT
cluster_301	4	FAM124A	YWHAE	YWHAG	YWHAZ
cluster_302	4	FAM189A2	YWHAG	YWHAQ	YWHAZ
cluster_303	4	FAM19A3	PPP4R2	SMEK1	SMEK2
cluster_304	4	FBXO45	MYCBP2	YWHAG	YWHAH
cluster_305	4	FOXK1	YWHAB	YWHAG	YWHAH
cluster_306	4	FTL	PIPSL	SKA1	SKA3
cluster_307	4	GDPD5	STX7	STX8	VTI1B
cluster_308	4	GEMIN6	GEMIN8	NCKIPSD	SIP1
cluster_309	4	GFER	TUBB	TUBB2A	TUBB2C
cluster_310	4	GIMAP8	SRP54	SRP68	SRP72
cluster_311	4	GOLGB1	TMED10	TMED2	TMED5
cluster_312	4	GPBP1L1	YWHAB	YWHAG	YWHAH
cluster_313	4	GPRASP2	GYG2	GYS1	STBD1
cluster_314	4	GSTM2	GSTM3	GSTM4	GSTM5
cluster_315	4	GTF3C1	GTF3C2	GTF3C3	STX6
cluster_316	4	GTF3C1	GTF3C2	GTF3C3	ZNF764
cluster_317	4	GTF3C1	GTF3C2	GTF3C3	ZNF785
cluster_318	4	HIF1AN	NFKB2	NFKBIB	REL
cluster_319	4	HLA-DQB1	NDUFA12	NDUFB8	NDUFB9
cluster_320	4	HOMER1	HOMER2	HOMER3	IFT57
cluster_321	4	HPS3	HPS5	HPS6	TCL1B
cluster_322	4	IDI2	LMO4	SSBP3	SSBP4
cluster_323	4	IFNA1	IFNA14	IFNA21	IFNA6
cluster_324	4	IFT74	IFT81	JPH4	RABL5
cluster_325	4	IGHMBP2	RDBP	TH1L	WHSC2
cluster_326	4	ILK	LIMS1	PARVA	PARVB
cluster_327	4	ILK	LIMS1	PARVB	RSU1
cluster_328	4	ISY1	PPIE	SNW1	ZNF830
cluster_329	4	KCTD3	SHKBP1	SLC9A3R1	SLC9A3R2
cluster_330	4	KDM5C	MORF4L1	MORF4L2	MRFAP1
cluster_331	4	KDSR	NDUFB3	NDUFB5	NDUFC2
cluster_332	4	L3MBTL2	MGA	PCGF6	TRIM52
cluster_333	4	LAMTOR1	LAMTOR3	LAMTOR4	RRAGD
cluster_334	4	LIN37	LIN52	LIN54	MYBL1
cluster_335	4	LRP1	TUBB2A	TUBB2C	TUBB4
cluster_336	4	LSM5	PRPF3	PRPF4	ZGPAT
cluster_337	4	LZTS2	PIP4K2A	PIP4K2B	PIP4K2C
cluster_338	4	LZTS2	SIPA1L1	SIPA1L2	SIPA1L3
cluster_339	4	MADD	PIP4K2A	PIP4K2B	PIP4K2C
cluster_340	4	MAK16	RBM34	RPF2	TUB
cluster_341	4	MAMDC4	SUPT7L	TADA1	TAF6L
cluster_342	4	MAX	PIP4K2A	PIP4K2B	PIP4K2C
cluster_343	4	MBIP	OSGEP	TP53RK	TPRKB
cluster_344	4	MCL1	PRKAA1	PRKAB1	PRKAB2
cluster_345	4	MDFI	STX6	STX8	VTI1B
cluster_346	4	MED1	MED13	MED23	MED4
cluster_347	4	MICALL1	YWHAB	YWHAG	YWHAH
cluster_348	4	MIS12	NDC80	NSL1	ZWINT
cluster_349	4	MIS12	NDC80	NUF2	ZWINT
cluster_350	4	MLLT1	PCGF1	RYBP	YAF2
cluster_351	4	MLLT4	YWHAB	YWHAG	YWHAH
cluster_352	4	MRPS15	PRKACB	PRKACG	PRKAR1B
cluster_353	4	MRPS17	MRPS25	MRPS34	PREPL
cluster_354	4	MZF1	ZNF213	ZNF24	ZSCAN1
cluster_355	4	NAV1	YWHAB	YWHAG	YWHAH
cluster_356	4	NDUFA12	NDUFS4	NDUFV3	TSHZ2
cluster_357	4	NDUFB3	NDUFB8	NDUFC2	SIDT2
cluster_358	4	NME1	NME1-NME2	NME3	NME4
cluster_359	4	NRBP1	SNX1	SNX2	SNX6
cluster_360	4	NUP107	NUP133	NUP43	SPAST
cluster_361	4	OSGEP	POP7	TP53RK	TPRKB
cluster_362	4	PBXIP1	STX6	STX8	VTI1B
cluster_363	4	PCDHA10	PCDHA2	PCDHA7	PCDHA8
cluster_364	4	PCDHGB2	PCDHGB4	PCDHGB5	SLC27A6
cluster_365	4	PDHB	PDK1	PDK2	PDK3
cluster_366	4	PGBD1	ZKSCAN3	ZKSCAN4	ZNF24
cluster_367	4	PGBD1	ZKSCAN4	ZNF174	ZNF396
cluster_368	4	PIH1D1	RPAP3	UXT	WDR92
cluster_369	4	PIP4K2A	PIP4K2B	PIP4K2C	SUN2
cluster_370	4	PKP2	YWHAB	YWHAG	YWHAH
cluster_371	4	PNMA2	VPS26A	VPS26B	VPS35
